year,CRIME_TYPE,TOTAL_CRIME_COUNT
2018,SEX OFFENSE,1169
2018,THEFT,65275
2018,CRIM SEXUAL ASSAULT,1427
2018,DECEPTIVE PRACTICE,19670
2018,NARCOTICS,13578
2018,WEAPONS VIOLATION,5456
2019,BATTERY,49508
2019,CRIMINAL TRESPASS,6818
2019,GAMBLING,142
2019,CRIMINAL DAMAGE,26681
2019,INTERFERENCE WITH PUBLIC OFFICER,1546
2019,OTHER OFFENSE,16775
2019,OFFENSE INVOLVING CHILDREN,2360
2019,PROSTITUTION,680
2019,PUBLIC PEACE VIOLATION,1520
2019,BURGLARY,9638
2019,LIQUOR LAW VIOLATION,232
2019,MOTOR VEHICLE THEFT,8976
2019,THEFT,62462
2019,ROBBERY,7994
2019,CRIM SEXUAL ASSAULT,921
2019,ASSAULT,20617
2019,SEX OFFENSE,1346
2019,NARCOTICS,15060
2019,DECEPTIVE PRACTICE,18811
2019,WEAPONS VIOLATION,6339
2020,CRIMINAL TRESPASS,4175
2020,GAMBLING,25
2020,BATTERY,41493
2020,CRIMINAL DAMAGE,24865
2020,INTERFERENCE WITH PUBLIC OFFICER,654
2020,OTHER OFFENSE,12561
2020,BURGLARY,8751
2020,OFFENSE INVOLVING CHILDREN,1916
2020,PROSTITUTION,277
2020,THEFT,41257
2020,PUBLIC PEACE VIOLATION,1270
2020,LIQUOR LAW VIOLATION,143
2020,SEX OFFENSE,938
2020,MOTOR VEHICLE THEFT,9951
2020,ASSAULT,18251
2020,CRIM SEXUAL ASSAULT,75
2020,ROBBERY,7853
2020,DECEPTIVE PRACTICE,17901
2020,WEAPONS VIOLATION,8429
2020,NARCOTICS,7484
2021,CRIMINAL TRESPASS,3356
2021,CRIMINAL DAMAGE,24660
2021,GAMBLING,13
2021,OTHER OFFENSE,13571
2021,INTERFERENCE WITH PUBLIC OFFICER,307
2021,OFFENSE INVOLVING CHILDREN,1838
2021,BURGLARY,6529
2021,BATTERY,39887
2021,PUBLIC PEACE VIOLATION,596
2021,LIQUOR LAW VIOLATION,180
2021,MOTOR VEHICLE THEFT,10378
2021,PROSTITUTION,95
2021,SEX OFFENSE,1034
2021,DECEPTIVE PRACTICE,15683
2021,NARCOTICS,4063
2021,WEAPONS VIOLATION,8856
2021,ROBBERY,7782
2021,ASSAULT,20042
2021,THEFT,39659
